Animal,Time,M1,M2,M3,Mmean,Msd,Mrelsd
A,0,3732731,3517046,3308558,3519445,212096.6758,6.0
A,3,3746758,3346041,3499106,3530635,202210.5015,5.7
A,5,2270610,2147652,2050012,2156091.333,110540.88,5.1
A,7,1896715,1914210,1878029,1896318,18093.7668,1.0
A,10,1352559,1485864,1519931,1452784.667,88453.53761,6.1
A,15,1465714,1487013,1499005,1483910.667,16860.93189,1.1
A,35,619433,678914,645945,648097.3333,29798.85475,4.6
A,56,292482,336281,309350,312704.3333,22091.32781,7.1
A,75,155070,168386,155534,159663.3333,7557.612674,4.7
B,0,2779527,2677276,2768176,2741659.667,56045.99629,2.0
B,3,4038746,3944902,4214311,4065986.333,136754.6311,3.4
B,5,2847883,2955518,2773689,2859030,91425.58732,3.2
B,7,2005845,1818033,1906250,1910042.667,93963.42414,4.9
B,10,1670864,1658304,1640419,1656529,15299.91748,0.9
B,15,1094350,1125499,1155704,1125184.333,30678.21035,2.7
B,35,777082,751508,721585,750058.3333,27776.88612,3.7
B,56,416820,422025,430801,423215.3333,7066.099372,1.7
B,75,253160,239975,254374,249169.6667,7985.917,3.2
C,0,2981849,3015105,2797670,2931541.333,117122.3326,4.0
C,3,5324156,5101114,5241688,5222319.333,112775.4068,2.2
C,5,3230189,3166117,3297032,3231112.667,65462.38749,2.0
C,7,2647478,2604748,2596322,2616182.667,27428.04742,1.0
C,10,2246125,2291451,2159337,2232304.333,67132.59543,3.0
C,15,2215984,2186905,1969782,2124223.667,134538.3528,6.3
C,35,1456126,1533670,1547006,1512267.333,49074.93459,3.2
C,56,1002436,967181,970261,979959.3333,19526.18776,2.0
C,75,607032,615765,630907,617901.3333,12080.01847,2.0
D,0,2975752,3079429,3177324,3077501.667,100799.8202,3.3
D,3,1517539,1528750,1521214,1522501,5715.234641,0.4
D,5,1307553,1209158,1294680,1270463.667,53480.99762,4.2
D,7,1106008,1089638,950334,1048660,85545.28585,8.2
D,10,908866,883664,907034,899854.6667,14051.41706,1.6
D,15,919173,894994,924561,912909.3333,15747.28587,1.7
D,35,881676,837448,842901,854008.3333,24115.52687,2.8
D,56,537093,529639,532117,532949.6667,3796.1203,0.7
D,75,389359,431277,454162,424932.6667,32864.04002,7.7
E,0,2833097,2783724,2592690,2736503.667,126969.2928,4.6
E,3,1652926,1649312,1583300,1628512.667,39196.99184,2.4
E,5,1201,922,1661,1261.333333,373.1760085,29.6
E,7,3284391,3179844,3029096,3164443.667,128342.3623,4.1
E,10,1436540,1448822,1418049,1434470.333,15490.54622,1.1
E,15,1605559,1671180,1401173,1559304,140821.1233,9.0
E,35,1595462,1494804,1490299,1526855,59458.08686,3.9
E,56,1219066,1236493,1146906,1200821.667,47498.41488,4.0
E,75,853364,933611,881999,889658,40668.05212,4.6
F,0,3065824,3143789,2995825,3068479.333,74017.73045,2.4
F,3,2194116,2239922,2139350,2191129.333,50352.47689,2.3
F,5,1509032,1620512,1553922,1561155.333,56090.89439,3.6
F,7,1269872,1371958,1319306,1320378.667,51051.45257,3.9
F,10,1039472,1057356,994929,1030585.667,32148.21569,3.1
F,15,1311120,1339149,1364471,1338246.667,26686.94352,2.0
F,35,882363,986456,977426,948748.3333,57668.40197,6.1
F,56,,474996,541180,508088,46799.15521,9.2
F,75,221814,254380,230593,235595.6667,16849.51318,7.2
G,0,2512175,2621102,2321734,2485003.667,151522.3115,6.1
G,3,3343586,,3679456,3511521,237495.9546,6.8
G,5,1843,1198,1290,1443.666667,348.87868,24.2
G,7,3761226,4022240,3862604,3882023.333,131586.1312,3.4
G,10,3257443,3310919,3230600,3266320.667,40888.81466,1.3
G,15,3943249,4753822,4619391,4438820.667,434409.2322,9.8
G,35,3132336,3730078,,3431207,422667.4216,12.3
G,56,2152651,2245233,2168391,2188758.333,49537.64106,2.3
G,75,1198,1106,1658,1320.666667,295.7386233,22.4
H,0,2879237,3009604,2987004,2958615,69665.91823,2.4
H,3,3991526,3917620,3849977,3919707.667,70797.58904,1.8
H,5,2561111,2443821,2676360,2560430.667,116270.9928,4.5
H,7,1979231,1917691,1853094,1916672,63074.67371,3.3
H,10,1796931,1832878,1666370,1765393,87619.7044,5.0
H,15,1189543,1186448,1162177,1179389.333,14986.42954,1.3
H,35,599539,621428,617606,612857.6667,11691.53892,1.9
H,56,315081,323351,306465,314965.6667,8443.590784,2.7
H,75,236248,240572,249436,242085.3333,6722.980688,2.8
I,0,3094996,3173373,2881900,3050089.667,150836.2076,4.9
I,3,4644515,4645360,4659532,4649802.333,8436.724266,0.2
I,5,2662797,2722430,2759454,2714893.667,48767.21391,1.8
I,7,2138636,2169641,2161316,2156531,16046.79641,0.7
I,10,1800464,1864163,1856596,1840407.667,34798.52371,1.9
I,15,1297911,1428714,1300266,1342297,74848.57997,5.6
I,35,841580,847476,827975,839010.3333,10001.23194,1.2
I,56,544212,586445,574183,568280,21726.49601,3.8
I,75,277022,287749,300340,288370.3333,11671.41047,4.0
J,0,3210256,3262088,3182126,3218156.667,40562.24552,1.3
J,3,2897786,3057317,2751984,2902362.333,152717.9339,5.3
J,5,3233761,3429190,3379421,3347457.333,101559.7386,3.0
J,7,2452476,2383755,2340752,2392327.667,56353.18096,2.4
J,10,2393309,2427401,2420408,2413706,18007.04637,0.7
J,15,2540959,2513845,2497909,2517571,21765.52163,0.9
J,35,1555421,1552827,1476952,1528400,44574.14875,2.9
J,56,1024922,1040544,1102489,1055985,41024.1177,3.9
J,75,752512,750687,758366,753855,4011.794736,0.5
